date,platform,post_id,keyword,likes,shares,followers,sentiment_score
2025-04-01,Twitter,TW_0_350,AI,1878,295,387123,-0.8
2025-04-01,Twitter,TW_0_858,DataScience,4517,188,310588,-0.16
2025-04-01,Twitter,TW_0_130,Innovation,817,457,122981,0.01
2025-04-01,Twitter,TW_0_127,Sustainability,4647,417,376400,0.3
2025-04-01,Instagram,IN_0_928,RemoteWork,103,336,367026,-0.15
2025-04-01,Instagram,IN_0_384,Sustainability,1323,450,401290,-0.33
2025-04-01,Instagram,IN_0_194,DataScience,3162,208,189208,0.69
2025-04-01,Instagram,IN_0_718,Innovation,2216,98,383589,-0.08
2025-04-01,TikTok,TI_0_665,RemoteWork,2451,1297,325282,0.77
2025-04-01,TikTok,TI_0_470,AI,4779,403,370398,-0.86
2025-04-01,LinkedIn,LI_0_987,Sustainability,877,788,146738,-0.09
2025-04-01,LinkedIn,LI_0_954,Innovation,3038,343,195081,-0.29
2025-04-01,LinkedIn,LI_0_786,AI,2237,1447,492076,0.37
2025-04-01,LinkedIn,LI_0_173,RemoteWork,1451,1103,383272,-0.51
2025-04-02,Twitter,TW_1_804,RemoteWork,4612,459,359935,-0.35
2025-04-02,Twitter,TW_1_886,Innovation,508,479,431861,-0.94
2025-04-02,Twitter,TW_1_423,DataScience,3336,558,35701,-0.58
2025-04-02,Instagram,IN_1_505,Innovation,3808,302,139873,-0.72
2025-04-02,Instagram,IN_1_862,Sustainability,4648,1113,138752,0.49
2025-04-02,Instagram,IN_1_538,DataScience,4830,827,190790,-0.56
2025-04-02,Instagram,IN_1_241,RemoteWork,4224,1020,48662,0.51
2025-04-02,TikTok,TI_1_911,Sustainability,3508,1231,34306,-0.23
2025-04-02,TikTok,TI_1_710,DataScience,3884,1093,132813,0.94
2025-04-02,LinkedIn,LI_1_887,AI,2836,238,154878,-0.13
2025-04-02,LinkedIn,LI_1_564,Innovation,76,1488,460199,0.44
2025-04-03,Twitter,TW_2_961,Sustainability,4208,1257,105286,-0.69
2025-04-03,Twitter,TW_2_880,AI,1373,1114,409224,0.84
2025-04-03,Twitter,TW_2_100,Innovation,4956,673,257170,-0.96
2025-04-03,Twitter,TW_2_471,DataScience,2569,500,31369,-0.52
2025-04-03,Instagram,IN_2_935,AI,616,1100,402517,-0.75
2025-04-03,Instagram,IN_2_775,DataScience,3943,1135,87574,-0.47
2025-04-03,Instagram,IN_2_993,Innovation,3516,443,488018,0.08
2025-04-03,Instagram,IN_2_847,Sustainability,1697,1470,164429,-0.2
2025-04-03,TikTok,TI_2_223,Innovation,2080,470,34568,-0.32
2025-04-03,TikTok,TI_2_702,RemoteWork,4587,481,309512,-0.56
2025-04-03,TikTok,TI_2_172,DataScience,532,478,36337,0.81
2025-04-03,TikTok,TI_2_980,Sustainability,2756,155,270565,-0.52
2025-04-03,LinkedIn,LI_2_840,RemoteWork,4727,1190,248815,-0.51
2025-04-03,LinkedIn,LI_2_584,Sustainability,3384,399,50453,-0.81
2025-04-03,LinkedIn,LI_2_541,Innovation,2952,877,216535,-0.07
2025-04-03,LinkedIn,LI_2_846,AI,493,1389,343598,0.97
2025-04-04,Twitter,TW_3_845,AI,2829,233,131367,-0.62
2025-04-04,Twitter,TW_3_649,RemoteWork,3725,297,222187,-0.63
2025-04-04,Instagram,IN_3_927,Sustainability,4558,210,27522,0.3
2025-04-04,Instagram,IN_3_653,AI,170,201,486683,0.51
2025-04-04,Instagram,IN_3_342,DataScience,1412,842,255615,-0.04
2025-04-04,TikTok,TI_3_102,AI,3248,553,486762,0.57
2025-04-04,TikTok,TI_3_565,Sustainability,2386,876,366214,0.91
2025-04-04,TikTok,TI_3_902,RemoteWork,4602,1365,377652,-0.03
2025-04-04,LinkedIn,LI_3_159,Innovation,4794,1120,32959,0.5
2025-04-04,LinkedIn,LI_3_158,Sustainability,460,1206,250974,0.01
2025-04-05,Twitter,TW_4_971,Sustainability,1572,150,312969,-0.86
2025-04-05,Twitter,TW_4_982,AI,1976,836,63855,0.88
2025-04-05,Twitter,TW_4_683,Innovation,2066,1195,312699,-0.92
